Region,Model,RMSE,MAE,R2,MAPE
argan,ARIMA,0.021489791125141877,0.021489791125141877,,13.180631597140724
argan,SARIMA,0.014557347735406012,0.014557347735406012,,8.928659958326639
argan,ExpSmoothing,0.02102302696586389,0.02102302696586389,,12.894344662550909
argan,Prophet,0.009595212245561008,0.009595212245561008,,5.88516458669293
haut,ARIMA,0.005327827694760118,0.005327827694760118,,3.6491325752319574
haut,SARIMA,0.008186378044183207,0.008186378044183207,,5.607009180040242
haut,ExpSmoothing,0.0009045463426522182,0.0009045463426522182,,0.6195413429051885
haut,Prophet,0.03203642808820728,0.03203642808820728,,21.942371268073984
mamora,ARIMA,0.014388313635249006,0.014388313635249006,,4.029304826775131
mamora,SARIMA,0.01963811972099011,0.01963811972099011,,5.4994610616996
mamora,ExpSmoothing,0.03839861325055355,0.03839861325055355,,10.753151594700368
mamora,Prophet,0.042522152857691786,0.042522152857691786,,11.907908049392633
moyen,ARIMA,0.0058904980447139765,0.0058904980447139765,,2.303311238195248
moyen,SARIMA,0.00180241752122684,0.00180241752122684,,0.7047839590214798
moyen,ExpSmoothing,0.0007284815510544829,0.0007284815510544829,,0.2848519311312614
moyen,Prophet,0.3099716029005113,0.3099716029005113,,121.20555359878911
rif,ARIMA,0.006894957381470446,0.006894957381470446,,1.8555172369491377
rif,SARIMA,0.0037841103996271164,0.0037841103996271164,,1.0183503224974504
rif,ExpSmoothing,0.019704010356053958,0.019704010356053958,,5.3025898246937775
rif,Prophet,0.015085678985725604,0.015085678985725604,,4.05974045094469
COMBINED,ARIMA,0.006744970338206258,0.006744970338206258,,2.6568341091497554
COMBINED,SARIMA,0.004845568946361234,0.004845568946361234,,1.9086626344383624
COMBINED,ExpSmoothing,0.006820915265987715,0.006820915265987715,,2.686748706906215
COMBINED,Prophet,0.003095279466998002,0.003095279466998002,,1.2192261274581297
